"usa_gdp","china_gdp","germany_gdp","japan_gdp","india_gdp","uk_gdp","france_gdp","brazil_gdp","italy_gdp","canada_gdp"
1073303,96584.138105,215835.185577,212609.187709,62422.483,130682.295637,148450.958499,35379.865756,113400.387999,89228.310508
1164850,104464.337801,249984.80096,240151.811888,66898.484438,148106.601857,165974.625959,39519.786511,124676.71046,100781.184313
1279110,119647.196422,299796.651352,318031.297494,72744.178924,169969.084028,203484.660985,50865.277881,145256.807952,114779.446524
1425376,146911.405286,398380.237089,432082.723461,86851.358251,192551.676951,264421.351011,72012.177563,175496.590226,133068.911057
1545243,153959.856112,445304.976875,479625.998616,97977.985187,206152.361031,285543.957372,92323.575735,199579.758693,161861.559076
1684904,173929.916844,490625.926087,521541.905673,101735.373664,241734.621312,360848.29241,108563.231342,227717.153223,175041.578339
1873412,167264.807148,519741.148215,586161.859003,102463.676507,232610.445457,372322.045575,128345.434668,224735.495079,208926.751544
2081826,191228.096558,600491.418062,721411.786539,119039.438267,263079.306617,410285.602701,149375.89005,257587.527902,214000.658352
2351599,237566.198306,740474.558641,1013612.334076,137524.183976,335880.0784,506694.842988,169602.612158,315059.736628,220960.396386
2627333,287076.894538,881309.093733,1055012.119531,152061.725542,439011.580878,613970.509876,186976.059338,393673.271614,245489.894891
2857307,336047.845174,950333.588797,1105385.811263,187032.815265,564954.276868,701305.015186,176173.672361,477237.116665,276036.947971
3207041,321700.119632,800458.442374,1218988.750886,199543.85866,540720.761152,615551.683162,224381.525141,430710.094442,307244.507348
3343789,317358.772092,776578.55617,1134518.153718,204391.186466,515006.780277,584871.786075,245733.812312,427264.619954,314639.306341
3634038,335791.782584,770707.78632,1243323.766555,222870.09288,489599.76428,559889.213926,173009.235234,443031.246938,341861.654209
4037613,348538.559282,725107.701028,1318381.627007,221946.226842,461483.005638,530696.842618,175885.259125,437890.322036,356727.581683
4338979,346900.408065,732522.109728,1398892.549341,230042.716847,489256.281229,553142.969026,188347.147146,452197.759326,366190.482114
4579631,343123.749073,1046295.374404,2078952.922458,252454.324684,601455.004222,771488.415239,226408.111204,640353.823788,379006.83706
4855215,379670.167134,1298187.736271,2532808.573157,279184.279235,745130.338366,934146.209719,248287.203764,805756.10841,433136.960388
5236438,469841.200196,1401165.212763,3071683.81215,308515.067299,910171.030658,1018813.494769,277346.060581,891563.195347,509376.578529
5641580,527782.891192,1399040.146029,3054913.797217,304013.813794,926926.143222,1025162.972813,377262.508482,928625.859123,567215.985473
5963144,474740.977636,1771646.896836,3132817.652848,329139.432439,1093213.710428,1269138.608283,408823.13762,1181283.986443,596088.363223
6158129,506100.809303,1868922.773256,3584420.96407,291200.362702,1142766.274398,1269224.971748,380373.414915,1246174.807721,612518.801914
6520327,602324.015295,2131681.240867,3908808.434705,293692.987227,1179713.014952,1401401.633694,364362.751296,1320193.80435,594375.064634
6858559,745135.710053,2071251.45928,4454144.444408,287273.815813,1061457.883634,1322886.326148,408861.897413,1064917.987224,579065.157107
7287236,706445.437002,2205017.031735,4998797.262443,327525.496496,1140443.311075,1393976.485635,583242.23274,1099271.683485,579928.067827
7639749,886183.404193,2585619.317335,5545564.892181,371782.719797,1344307.805796,1600996.702405,781735.866412,1174698.698393,605943.061298
8073122,1030644.031916,2497313.370101,4923393.495139,393646.925603,1419738.326016,1605764.901947,853644.145111,1312483.174457,630622.640056
8577552,1146222.221354,2211967.994783,4492449.998032,425545.042367,1560819.633758,1452888.333012,885685.1436,1241913.280989,655001.504628
9062817,1204743.849415,2238981.423878,4098362.688659,429550.239495,1653630.314625,1503149.910225,857857.034833,1270086.120999,634021.844269
9631172,1266319.933378,2194140.371823,4635982.020565,461791.149191,1687948.298671,1492604.184932,596883.523493,1251987.37588,678404.467384
10250952,1389774.245411,1943143.89231,4968359.152796,476148.034907,1665457.177188,1362247.894595,655448.149491,1143828.954127,744773.7878
10581929,1515665.164958,1944089.985772,4374709.98422,490658.804656,1649934.139969,1376453.007132,559983.504981,1167002.353447,739005.645912
10929108,1644277.832676,2068718.227035,4182845.406489,512774.618109,1785667.467665,1494354.627461,509795.183321,1270770.111571,760644.908458
11456450,1829912.22704,2496032.4141,4519563.042184,599470.430509,2054515.100678,1840409.841231,558233.595354,1574085.122752,895575.10965
12217196,2135090.302733,2809310.064381,4893135.49052,703128.958274,2421613.753708,2115834.435318,669289.249136,1803305.333606,1026680.493434
13039197,2479691.785892,2845731.980301,4831466.523976,823611.578011,2543187.706629,2196071.481868,891634.030576,1857478.112719,1173158.124936
13815583,2960522.12012,2992043.438581,4601662.66103,939066.417429,2708508.028409,2318474.882627,1107626.711424,1947819.927261,1319333.899485
14474228,3780360.249774,3421053.532018,4579749.785985,1184724.488414,3090685.413005,2657076.867804,1397114.279233,2210179.192828,1468822.478371
14769862,4834648.116645,3730166.004502,5106679.413138,1267470.121376,2929593.51798,2918490.999002,1695855.343282,2398945.461193,1552932.411156
14478067,5337330.418562,3397586.387028,5289493.7349,1315230.229768,2412767.598786,2690060.238351,1666996.116574,2191109.883225,1374624.472823
15048970,6344068.420847,3396354.075664,5759071.769013,1669619.794642,2485482.596185,2642609.54893,2208838.108593,2134017.843247,1617266.734509
15599731,7836902.03283,3744408.602684,6233147.172341,1871918.010542,2663805.834828,2861408.170265,2616156.606735,2291991.04577,1792832.718135
16254000,8838004.954137,3527344.94414,6272362.996105,1860877.235564,2707089.726615,2683825.225093,2465228.293863,2087077.032435,1828685.3261
16880700,9897700.345081,3732743.446219,5212328.181166,1917053.695705,2784853.502534,2811077.725704,2472819.362259,2141315.327318,1847206.580024
17608100,10821985.896759,3883920.155292,4896994.405353,2042939.289738,3064708.247921,2852165.76063,2456043.766063,2159133.919744,1803534.113918
18295000,11416003.508893,3356235.70412,4444930.651964,2146758.604759,2927911.140917,2438207.896252,1802211.999556,1835899.23732,1556128.742617
18804900,11599244.248293,3467498.002104,5003677.627544,2290590.963528,2689106.5669,2471285.607082,1795693.265824,1875797.463584,1528244.722961
19612100,12702146.908925,3690849.152518,4930837.369151,2624329.038245,2680148.052335,2595151.045198,2063514.688762,1961796.197354,1649518.967468
20656500,14311827.264042,3974443.35502,5040880.939325,2763196.673222,2871340.347582,2790956.878747,1916933.708404,2091932.426267,1725383.943649
21521400,14698122.409625,3889177.589255,5117993.853017,2854814.212131,2851407.164908,2728870.246706,1881458.564748,2011302.198827,1743645.481081
21323000,15058028.0094,3887727.161914,5048789.595589,2676119.157953,2697806.592294,2647418.691598,1476107.292037,1897461.635592,1647598.402303
23594000,18220337.693014,4278503.93469,5005536.736792,3175276.377979,3141506.156619,2959355.819171,1649622.886218,2155360.298998,2001486.745424
25744100,18347051.406964,4076923.618912,4232173.916087,3465541.446546,3089072.7224,2775316.950606,1920095.477164,2046952.679267,2137939.220075
27149488.929809,18571020.990819,4394652.127879,4166936.088246,3695362.770027,3263527.803496,2971266.414013,2136919.783907,2250534.1904,2101647.88874
